#,Class,Status,Time
'1','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 10:07:32.593088'
'16','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 10:27:42.287865'
'31','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 10:47:51.921074'
'46','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 11:08:01.637980'
'61','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 11:28:11.155051'
'76','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 11:48:20.753351'
'91','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-21 12:08:30.354021'
'93','Hot Yoga 熱瑜珈' by 'Ethan Lee',BOOKED,'2021-04-21 12:10:51.866289'
