#,Class,Status,Time
'1','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:24:00.760873'
'2','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:25:51.363870'
'3','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:27:41.939458'
'4','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:29:32.534548'
'5','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:31:23.111206'
'6','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:33:13.895516'
'7','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:35:04.481526'
'8','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:36:55.069966'
'9','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:38:45.670159'
'10','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:40:36.236991'
'11','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:42:26.837593'
'12','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:44:17.581138'
'13','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:46:08.155181'
'14','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:47:58.749530'
'15','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:49:49.419226'
'16','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:51:40.008872'
'17','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:53:30.636924'
'18','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:55:21.429854'
'19','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:57:12.011690'
'20','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 14:59:02.606065'
'21','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:00:53.218406'
'22','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:02:43.839879'
'23','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:04:34.452862'
'24','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:06:25.242618'
'25','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:08:15.840795'
'26','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:10:06.450181'
'27','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:11:57.048563'
'28','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:13:47.643734'
'29','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:15:38.248439'
'30','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:17:29.043147'
'31','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:19:19.656673'
'32','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:21:10.268141'
'33','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-08-20 15:23:00.866149'
