#,Class,Status,Time
'1','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 11:41:25.517478'
'16','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 12:01:35.916450'
'31','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 12:21:46.100942'
'46','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 12:41:56.210891'
'61','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 13:02:06.263965'
'76','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 13:22:16.543835'
'91','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 13:42:26.557504'
'106','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 14:02:36.812825'
'121','Hot Yoga 熱瑜珈' by 'Ethan Lee',FULL,'2021-04-28 14:22:46.931629'
'133','Hot Yoga 熱瑜珈' by 'Ethan Lee',BOOKED,'2021-04-28 14:38:35.291344'
