#,Class,Status,Time
'1','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-03-21 17:59:20.925685'
'2','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-21 17:59:34.939298'
'69','Gentle Yoga 和緩瑜珈' by 'Una',BOOKED,'2022-03-21 19:52:56.792941'
'91','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-21 21:07:14.416501'
'136','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-21 23:38:07.986722'
'181','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-22 02:08:51.071746'
'226','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-22 04:39:37.375576'
'250','Vinyasa Intro. 流暢瑜珈入門' by 'Una',BOOKED,'2022-03-22 05:59:49.410001'
