#,Class,Status,Time
'1','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:22:43.172880'
'2','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:24:33.824369'
'3','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:26:24.512922'
'4','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:28:15.158186'
'5','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:30:05.757895'
'6','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:31:56.397954'
'7','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:33:47.857906'
'8','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:35:38.488601'
'9','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:37:29.117749'
'10','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:39:19.737650'
'11','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:41:10.389943'
'12','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:43:01.047098'
'13','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:44:52.424061'
'14','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:46:43.036956'
'15','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:48:33.693314'
'16','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:50:24.299408'
'17','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:52:14.897449'
'18','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:54:05.511530'
'19','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:55:56.919005'
'20','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:57:47.548882'
'21','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 20:59:38.165795'
'22','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:01:28.772261'
'23','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:03:19.407405'
'24','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:05:10.045706'
'25','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:07:01.472437'
'26','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:08:52.186134'
'27','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:10:42.785639'
'28','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:12:33.424404'
'29','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:14:24.040192'
'30','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:16:14.691786'
'31','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:18:06.112292'
'32','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:19:56.711232'
'33','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:21:47.362611'
'34','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:23:37.994383'
'35','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:25:28.646693'
'36','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:27:19.258140'
'37','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:29:10.879219'
'38','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:31:47.987960'
'39','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:33:38.614916'
'40','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:35:29.265109'
'41','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:37:19.920876'
'42','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:39:11.422760'
'43','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:41:02.048414'
'44','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:42:52.669564'
'45','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:44:43.280727'
'46','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:46:33.908443'
'47','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:48:24.533593'
'48','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:50:15.936760'
'49','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:52:06.595515'
'50','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:53:57.209036'
'51','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:55:47.852616'
'52','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:57:38.471478'
'53','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 21:59:29.086170'
'54','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:02:00.880778'
'55','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:03:51.527732'
'56','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:05:42.145046'
'57','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:07:32.770469'
'58','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:09:23.414366'
'59','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:11:14.065541'
'60','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:13:05.487143'
'61','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:14:56.089012'
'62','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:16:46.785690'
'63','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:18:37.413937'
'64','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:20:28.059214'
'65','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:22:18.712820'
'66','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:24:10.179189'
'67','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:26:00.810334'
'68','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:27:51.387308'
'69','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:29:42.002317'
'70','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:31:32.592663'
'71','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:33:23.189760'
'72','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:35:14.620588'
'73','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:37:05.233842'
'74','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:38:55.867514'
'75','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:40:46.514046'
'76','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:42:37.166800'
'77','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:44:27.797612'
'78','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:46:19.227334'
'79','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:48:09.846452'
'80','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:50:00.475533'
'81','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:51:51.109902'
'82','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:53:41.825661'
'83','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:55:32.479373'
'84','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:57:23.869764'
'85','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 22:59:14.492774'
'86','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:01:05.113656'
'87','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:02:55.741768'
'88','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:04:46.380022'
'89','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:06:37.032481'
'90','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:08:28.468666'
'91','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:10:19.146965'
'92','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:12:09.768395'
'93','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:14:00.425025'
'94','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:15:51.045293'
'95','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:17:41.725075'
'96','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:19:33.184346'
'97','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:21:23.812054'
'98','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:23:14.428373'
'99','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:25:05.015075'
'100','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:26:55.685808'
'101','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:28:46.417419'
'102','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:30:37.860997'
'103','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:32:28.502067'
'104','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:34:19.140121'
'105','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:36:09.773875'
'106','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:38:00.376508'
'107','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:39:51.018847'
'108','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:41:42.414923'
'109','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:43:33.001858'
'110','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:45:23.607422'
'111','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:47:14.195523'
'112','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-03-17 23:49:04.853928'
'113','Flow Yoga 動瑜珈' by 'Moorthi',BOOKED,'2023-03-17 23:50:38.730035'
