#,Class,Status,Time
'1','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:42:13.233328'
'2','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:43:33.828834'
'3','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:44:54.630284'
'4','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:46:15.534771'
'5','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:47:36.136859'
'6','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:48:56.737442'
'7','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:50:17.324635'
'8','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:51:37.937273'
'9','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:52:59.136668'
'10','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:54:19.746989'
'11','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:55:40.375190'
'12','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:57:00.974326'
'13','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:58:21.543003'
'14','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 11:59:42.130850'
'15','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:01:02.850003'
'16','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:02:23.457515'
'17','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:03:44.619869'
'18','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:05:05.224480'
'19','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:06:25.858412'
'20','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:07:46.497029'
'21','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:09:07.100403'
'22','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:10:27.716252'
'23','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:11:48.344222'
'24','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:13:08.977404'
'25','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:14:30.139199'
'26','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:15:50.726195'
'27','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:17:11.356338'
'28','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:18:31.999246'
'29','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:19:52.575603'
'30','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:21:13.200394'
'31','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:22:33.793144'
'32','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:23:54.418145'
'33','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:25:15.549201'
'34','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:26:36.179870'
'35','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:27:56.760699'
'36','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:29:17.343743'
'37','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:30:37.933777'
'38','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:31:58.567275'
'39','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:33:19.175775'
'40','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:34:39.742012'
'41','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:36:00.958813'
'42','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:37:21.560638'
'43','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-05-24 12:38:42.155085'
