#,Class,Status,Time
'1','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:13:16.865786'
'2','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:13:31.247777'
'3','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:13:45.692776'
'4','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:14:37.474773'
'5','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:14:51.878365'
'6','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:15:06.279926'
'7','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:15:58.077463'
'8','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:16:12.542841'
'9','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:16:26.870500'
'10','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:17:18.690638'
'11','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:17:33.121098'
'12','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:17:47.471050'
'13','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:18:39.306622'
'14','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:18:53.998392'
'15','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:19:08.389440'
'16','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:19:59.933364'
'17','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:20:14.586196'
'18','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:20:28.982971'
'19','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:21:20.543072'
'20','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:21:35.202497'
'21','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:21:49.566565'
'22','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:22:41.144825'
'23','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:22:55.814059'
'24','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:23:10.212486'
'25','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:24:01.758048'
'26','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:24:16.401479'
'27','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:24:30.855656'
'28','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:25:22.341373'
'29','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:25:36.988588'
'30','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:25:51.430614'
'31','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:26:42.960939'
'32','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:26:57.599355'
'33','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:27:12.018733'
'34','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:28:03.586870'
'35','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:28:18.228649'
'36','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:28:32.608076'
'37','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:29:24.740360'
'38','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:29:38.837140'
'39','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:29:53.233360'
'40','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:30:45.341520'
'41','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:30:59.421475'
'42','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:31:13.850472'
'43','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:32:05.953455'
'44','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:32:20.057612'
'45','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:32:34.494140'
'46','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:33:26.539711'
'47','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:33:40.646740'
'48','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:33:55.116659'
'49','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:34:47.127310'
'50','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:35:01.243947'
'51','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2023-05-15 06:35:15.719839'
'52','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 06:36:07.709395'
