#,Class,Status,Time
67: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:09:32.340816
68: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:09:51.117818
69: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:09:51.257352
70: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:10:09.778565
71: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:10:09.866932
72: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:10:28.506781
73: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:10:28.600474
74: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:10:47.231043
75: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:10:47.325266
76: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:11:06.064212
77: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:11:06.153908
78: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:11:24.827066
79: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:11:24.923418
80: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:11:43.648763
81: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:11:43.737061
82: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:12:02.558537
83: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:12:02.656609
84: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:12:21.342102
85: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:12:21.433175
86: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:12:40.172521
87: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:12:40.289147
88: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:12:58.784750
89: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:12:58.885174
90: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:13:17.613763
91: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:13:17.709279
92: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:13:36.419985
93: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:13:36.511738
94: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:13:56.303537
95: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:13:56.394088
96: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:14:15.154100
97: Gentle Yoga 和緩瑜珈 by Marcus is FULL at 2023-12-02 13:14:15.244409
98: Counter Flow 1 by Marcus is FULL at 2023-12-02 13:14:34.028626
UNEXPECTED SCENARIO HAPPENED. NEED TO REVISE THE CODE
