#,Class,Status,Time
'1','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2021-11-15 20:36:58.758036'
'2','Yin Yoga 陰瑜珈' by 'Mei Wang',FULL,'2021-11-15 20:37:05.523636'
'3','Warm Stretch 溫和伸展' by 'Mei Wang',FULL,'2021-11-15 20:37:17.324193'
'4','Vinyasa Intro 流暢瑜珈入門' by 'Mei Wang',FULL,'2021-11-15 20:37:25.074015'
'53','Warm Stretch 溫和伸展' by 'Mei Wang',BOOKED,'2021-11-15 20:54:32.887259'
'91','Vinyasa Intro 流暢瑜珈入門' by 'Mei Wang',FULL,'2021-11-15 21:11:29.613056'
'92','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2021-11-15 21:12:10.364597'
'93','Yin Yoga 陰瑜珈' by 'Mei Wang',FULL,'2021-11-15 21:12:17.894307'
'136','Vinyasa Intro 流暢瑜珈入門' by 'Mei Wang',FULL,'2021-11-15 21:32:08.763571'
'137','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2021-11-15 21:32:29.012960'
'138','Yin Yoga 陰瑜珈' by 'Mei Wang',FULL,'2021-11-15 21:32:37.073176'
'179','Yin Yoga 陰瑜珈' by 'Mei Wang',BOOKED,'2021-11-15 21:51:17.274506'
'181','Hatha Yoga 哈達瑜珈' by 'Mei Wang',FULL,'2021-11-15 21:52:47.305037'
'182','Vinyasa Intro 流暢瑜珈入門' by 'Mei Wang',FULL,'2021-11-15 21:53:49.689662'
'183','Hatha Yoga 哈達瑜珈' by 'Mei Wang',BOOKED,'2021-11-15 21:53:49.826831'
'185','Vinyasa Intro 流暢瑜珈入門' by 'Mei Wang',BOOKED,'2021-11-15 21:57:34.189868'
