#,Class,Status,Time
'1','Vinyasa Yoga 流暢瑜珈' by 'Tumai',FULL,'2021-09-30 19:47:46.380471'
'16','Vinyasa Yoga 流暢瑜珈' by 'Tumai',FULL,'2021-09-30 20:07:57.677681'
'31','Vinyasa Yoga 流暢瑜珈' by 'Tumai',FULL,'2021-09-30 20:28:09.012800'
'46','Vinyasa Yoga 流暢瑜珈' by 'Tumai',FULL,'2021-09-30 20:48:20.339470'
'61','Vinyasa Yoga 流暢瑜珈' by 'Tumai',FULL,'2021-09-30 21:08:37.584741'
'76','Vinyasa Yoga 流暢瑜珈' by 'Tumai',FULL,'2021-09-30 21:28:48.837618'
'81','Vinyasa Yoga 流暢瑜珈' by 'Tumai',BOOKED,'2021-09-30 21:35:12.983447'
