#,Class,Status,Time
2: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:18:39.124487
3: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:18:52.115220
4: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:19:04.919995
5: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:19:17.820753
6: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:19:30.687711
7: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:19:43.550441
8: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:19:56.427394
9: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:20:09.958785
10: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:20:22.852107
11: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:20:35.763517
12: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:20:48.671538
13: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:21:01.548091
14: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:21:14.424325
15: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:21:27.323797
16: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:21:40.256292
17: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:21:53.166237
18: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:22:06.033245
19: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:22:19.266860
20: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:22:32.256359
UNEXPECTED SCENARIO HAPPENED. NEED TO REVISE THE CODE
22: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:23:29.234019
23: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:23:42.078350
24: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:23:54.987988
25: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:24:07.954821
26: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:24:20.798293
27: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:24:33.729298
28: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:24:47.269755
29: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:25:00.179353
30: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:25:13.089782
31: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:25:26.236143
32: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:25:39.069720
33: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:25:52.022003
34: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:26:04.888929
35: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:26:17.754132
36: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:26:30.702122
37: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:26:43.588204
38: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:26:56.436075
39: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:27:09.319550
40: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:27:22.171390
41: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:27:35.099930
42: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:27:48.050528
43: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:28:01.083074
44: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:28:14.318006
45: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:28:27.235375
46: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:28:40.140708
47: Counter Flow 1 by Marcus is FULL at 2023-12-02 19:28:53.036007
