#,Class,Status,Time
'1','Warm Stretch 溫和伸展' by 'Una',BOOKED,'2022-08-28 22:30:15.742320'
'1','Yoga Tone' by 'Una',FULL,'2022-08-28 22:30:19.002905'
'2','Yoga Tone' by 'Una',FULL,'2022-08-28 22:32:09.575486'
