#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2022-10-24 15:44:32.186545'
'2','Yoga Tone' by 'Una',FULL,'2022-10-24 15:46:22.794347'
'3','Yoga Tone' by 'Una',FULL,'2022-10-24 15:48:13.426273'
'4','Yoga Tone' by 'Una',FULL,'2022-10-24 15:50:04.054752'
'5','Yoga Tone' by 'Una',FULL,'2022-10-24 15:51:54.693303'
'6','Yoga Tone' by 'Una',FULL,'2022-10-24 15:53:45.289538'
'7','Yoga Tone' by 'Una',FULL,'2022-10-24 15:55:36.200528'
'8','Yoga Tone' by 'Una',FULL,'2022-10-24 15:57:26.807123'
'9','Yoga Tone' by 'Una',FULL,'2022-10-24 15:59:17.471991'
'10','Yoga Tone' by 'Una',FULL,'2022-10-24 16:01:08.087729'
'11','Yoga Tone' by 'Una',FULL,'2022-10-24 16:02:58.698909'
'12','Yoga Tone' by 'Una',FULL,'2022-10-24 16:04:49.292997'
'13','Yoga Tone' by 'Una',FULL,'2022-10-24 16:06:40.167139'
'14','Yoga Tone' by 'Una',FULL,'2022-10-24 16:08:31.214870'
'15','Yoga Tone' by 'Una',FULL,'2022-10-24 16:10:21.821458'
'16','Yoga Tone' by 'Una',FULL,'2022-10-24 16:12:12.449661'
'17','Yoga Tone' by 'Una',FULL,'2022-10-24 16:14:03.071201'
'18','Yoga Tone' by 'Una',FULL,'2022-10-24 16:15:53.689280'
'19','Yoga Tone' by 'Una',FULL,'2022-10-24 16:17:44.589762'
'20','Yoga Tone' by 'Una',FULL,'2022-10-24 16:19:35.205021'
'21','Yoga Tone' by 'Una',FULL,'2022-10-24 16:21:25.792665'
'22','Yoga Tone' by 'Una',FULL,'2022-10-24 16:23:16.415487'
'23','Yoga Tone' by 'Una',FULL,'2022-10-24 16:25:06.999382'
'24','Yoga Tone' by 'Una',FULL,'2022-10-24 16:26:57.576476'
'25','Yoga Tone' by 'Una',FULL,'2022-10-24 16:28:48.477502'
'26','Yoga Tone' by 'Una',FULL,'2022-10-24 16:30:39.050167'
'27','Yoga Tone' by 'Una',FULL,'2022-10-24 16:32:29.617030'
'28','Yoga Tone' by 'Una',FULL,'2022-10-24 16:34:20.202483'
'29','Yoga Tone' by 'Una',FULL,'2022-10-24 16:36:10.823896'
'30','Yoga Tone' by 'Una',FULL,'2022-10-24 16:38:01.401673'
'31','Yoga Tone' by 'Una',FULL,'2022-10-24 16:39:52.264073'
'32','Yoga Tone' by 'Una',FULL,'2022-10-24 16:41:42.851280'
'33','Yoga Tone' by 'Una',FULL,'2022-10-24 16:43:33.439840'
'34','Yoga Tone' by 'Una',FULL,'2022-10-24 16:45:24.036067'
'35','Yoga Tone' by 'Una',FULL,'2022-10-24 16:47:14.665369'
'36','Yoga Tone' by 'Una',FULL,'2022-10-24 16:49:05.290525'
'37','Yoga Tone' by 'Una',FULL,'2022-10-24 16:50:56.215961'
'38','Yoga Tone' by 'Una',FULL,'2022-10-24 16:52:46.810236'
'39','Yoga Tone' by 'Una',FULL,'2022-10-24 16:54:37.425861'
'40','Yoga Tone' by 'Una',FULL,'2022-10-24 16:56:27.996202'
'41','Yoga Tone' by 'Una',FULL,'2022-10-24 16:58:18.601163'
'42','Yoga Tone' by 'Una',FULL,'2022-10-24 17:00:09.220376'
'43','Yoga Tone' by 'Una',FULL,'2022-10-24 17:02:00.093907'
'44','Yoga Tone' by 'Una',FULL,'2022-10-24 17:03:50.690607'
'45','Yoga Tone' by 'Una',FULL,'2022-10-24 17:05:41.316186'
'46','Yoga Tone' by 'Una',FULL,'2022-10-24 17:07:31.900326'
'47','Yoga Tone' by 'Una',FULL,'2022-10-24 17:09:22.517345'
'48','Yoga Tone' by 'Una',FULL,'2022-10-24 17:11:13.143029'
'49','Yoga Tone' by 'Una',FULL,'2022-10-24 17:13:04.034447'
'50','Yoga Tone' by 'Una',FULL,'2022-10-24 17:14:54.619403'
'51','Yoga Tone' by 'Una',FULL,'2022-10-24 17:16:45.215970'
'52','Yoga Tone' by 'Una',FULL,'2022-10-24 17:18:35.812238'
'53','Yoga Tone' by 'Una',FULL,'2022-10-24 17:20:26.417721'
'54','Yoga Tone' by 'Una',FULL,'2022-10-24 17:22:17.054904'
'55','Yoga Tone' by 'Una',FULL,'2022-10-24 17:24:07.963183'
'56','Yoga Tone' by 'Una',FULL,'2022-10-24 17:25:58.556067'
'57','Yoga Tone' by 'Una',FULL,'2022-10-24 17:27:49.173129'
'58','Yoga Tone' by 'Una',FULL,'2022-10-24 17:29:39.755662'
'59','Yoga Tone' by 'Una',FULL,'2022-10-24 17:31:30.331648'
'60','Yoga Tone' by 'Una',FULL,'2022-10-24 17:33:20.929661'
'61','Yoga Tone' by 'Una',FULL,'2022-10-24 17:35:11.841308'
'62','Yoga Tone' by 'Una',FULL,'2022-10-24 17:37:02.411726'
'63','Yoga Tone' by 'Una',FULL,'2022-10-24 17:38:53.026534'
'64','Yoga Tone' by 'Una',FULL,'2022-10-24 17:40:43.638859'
'65','Yoga Tone' by 'Una',FULL,'2022-10-24 17:42:34.219174'
'66','Yoga Tone' by 'Una',FULL,'2022-10-24 17:44:24.831613'
'67','Yoga Tone' by 'Una',FULL,'2022-10-24 17:46:15.698567'
'68','Yoga Tone' by 'Una',FULL,'2022-10-24 17:48:06.284378'
'69','Yoga Tone' by 'Una',FULL,'2022-10-24 17:49:56.885678'
'70','Yoga Tone' by 'Una',FULL,'2022-10-24 17:51:47.522604'
'71','Yoga Tone' by 'Una',FULL,'2022-10-24 17:53:38.099089'
'72','Yoga Tone' by 'Una',FULL,'2022-10-24 17:55:28.680896'
'73','Yoga Tone' by 'Una',FULL,'2022-10-24 17:57:19.563142'
'74','Yoga Tone' by 'Una',FULL,'2022-10-24 17:59:10.136780'
'75','Yoga Tone' by 'Una',FULL,'2022-10-24 18:01:00.730531'
'76','Yoga Tone' by 'Una',FULL,'2022-10-24 18:02:51.336088'
'77','Yoga Tone' by 'Una',FULL,'2022-10-24 18:04:41.932502'
'78','Yoga Tone' by 'Una',FULL,'2022-10-24 18:06:32.550708'
'79','Yoga Tone' by 'Una',FULL,'2022-10-24 18:08:23.409705'
'80','Yoga Tone' by 'Una',FULL,'2022-10-24 18:10:13.975774'
'81','Yoga Tone' by 'Una',FULL,'2022-10-24 18:12:04.586491'
'82','Yoga Tone' by 'Una',FULL,'2022-10-24 18:13:55.161945'
'83','Yoga Tone' by 'Una',FULL,'2022-10-24 18:15:45.777734'
'84','Yoga Tone' by 'Una',FULL,'2022-10-24 18:17:36.383551'
'85','Yoga Tone' by 'Una',FULL,'2022-10-24 18:19:27.347613'
'86','Yoga Tone' by 'Una',FULL,'2022-10-24 18:21:17.948012'
'87','Yoga Tone' by 'Una',FULL,'2022-10-24 18:23:08.532510'
'88','Yoga Tone' by 'Una',FULL,'2022-10-24 18:24:59.167907'
'89','Yoga Tone' by 'Una',FULL,'2022-10-24 18:26:49.762229'
'90','Yoga Tone' by 'Una',FULL,'2022-10-24 18:28:40.363005'
'91','Yoga Tone' by 'Una',FULL,'2022-10-24 18:30:31.327368'
'92','Yoga Tone' by 'Una',FULL,'2022-10-24 18:32:21.907781'
'93','Yoga Tone' by 'Una',FULL,'2022-10-24 18:34:12.521897'
'94','Yoga Tone' by 'Una',FULL,'2022-10-24 18:36:03.115174'
'95','Yoga Tone' by 'Una',FULL,'2022-10-24 18:37:53.732135'
'96','Yoga Tone' by 'Una',FULL,'2022-10-24 18:39:44.416689'
'97','Yoga Tone' by 'Una',FULL,'2022-10-24 18:41:35.319247'
'98','Yoga Tone' by 'Una',FULL,'2022-10-24 18:43:26.053946'
'99','Yoga Tone' by 'Una',FULL,'2022-10-24 18:45:16.642942'
'100','Yoga Tone' by 'Una',FULL,'2022-10-24 18:47:07.241721'
'101','Yoga Tone' by 'Una',FULL,'2022-10-24 18:48:57.826089'
'102','Yoga Tone' by 'Una',FULL,'2022-10-24 18:50:48.428724'
'103','Yoga Tone' by 'Una',FULL,'2022-10-24 18:52:39.363005'
