#,Class,Status,Time
'1','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:14:13.471032'
next_book_datetime=2023-07-25 22:15:18.471018'2','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:15:39.160260'
next_book_datetime=2023-07-25 22:16:44.160233'3','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:17:04.790138'
next_book_datetime=2023-07-25 22:18:09.790096'4','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:18:30.397874'
next_book_datetime=2023-07-25 22:19:35.397858'5','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:19:56.025134'
next_book_datetime=2023-07-25 22:21:01.025118'6','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:21:21.655638'
next_book_datetime=2023-07-25 22:22:26.655627'7','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:22:47.250844'
next_book_datetime=2023-07-25 22:23:52.250827'8','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:24:13.786472'
next_book_datetime=2023-07-25 22:25:18.786460'9','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:25:39.416105'
next_book_datetime=2023-07-25 22:26:44.416089'10','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:27:05.137683'
next_book_datetime=2023-07-25 22:28:10.137666'11','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:28:30.710866'
next_book_datetime=2023-07-25 22:29:35.710850'12','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:29:56.344748'
next_book_datetime=2023-07-25 22:31:01.344716'13','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:31:22.107601'
next_book_datetime=2023-07-25 22:32:27.107585'14','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:32:47.738690'
next_book_datetime=2023-07-25 22:33:52.738682'15','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:34:14.411406'
next_book_datetime=2023-07-25 22:35:19.411389'16','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:35:40.035077'
next_book_datetime=2023-07-25 22:36:45.035060'17','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:37:05.702667'
next_book_datetime=2023-07-25 22:38:10.702641'18','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:38:31.357782'
next_book_datetime=2023-07-25 22:39:36.357766'19','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:39:56.974396'
next_book_datetime=2023-07-25 22:41:01.974380'20','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:41:22.571988'
next_book_datetime=2023-07-25 22:42:27.571975'21','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:42:48.253295'
next_book_datetime=2023-07-25 22:43:53.253268'22','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:44:14.830064'
next_book_datetime=2023-07-25 22:45:19.830049'23','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2023-07-25 22:45:40.427162'
next_book_datetime=2023-07-25 22:46:45.427147'24','Flow Yoga 動瑜珈' by 'Moorthi',BOOKED,'2023-07-25 22:46:50.487399'
