#,Class,Status,Time
'1','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:12:40.036216'
'2','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:12:54.265340'
'3','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:14:30.638631'
'4','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:14:44.890512'
'5','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:16:21.218868'
'6','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:16:35.474212'
'7','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:18:11.856123'
'8','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:18:26.084781'
'9','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:20:02.484524'
'10','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:20:16.690739'
'11','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:21:53.352555'
'12','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:22:07.480710'
'13','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:23:43.983435'
'14','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:23:58.075949'
'15','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:25:34.562394'
'16','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:25:48.666813'
'17','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:27:25.154923'
'18','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:27:39.256091'
'19','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-09 01:29:15.764371'
'20','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:29:29.841609'
'21','Hatha Basic 哈達基礎' by 'Una',BOOKED,'2022-09-09 01:30:50.707501'
'21','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:31:20.428683'
'22','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:33:11.266086'
'23','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:35:01.857758'
'24','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:36:52.514062'
'25','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:38:43.092080'
'26','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:40:33.716764'
'27','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:42:24.307677'
'28','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:44:15.109267'
'29','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:46:05.732777'
'30','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:47:56.331690'
'31','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:49:46.903171'
'32','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:51:37.521048'
'33','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:53:28.095982'
'34','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:55:18.908892'
'35','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:57:09.521707'
'36','Yoga Tone 2' by 'Una',FULL,'2022-09-09 01:59:00.142155'
'37','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:00:50.742497'
'38','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:02:41.310779'
'39','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:04:31.892328'
'40','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:06:22.691286'
'41','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:08:13.261387'
'42','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:10:03.860942'
'43','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:11:54.447215'
'44','Yoga Tone 2' by 'Una',FULL,'2022-09-09 02:13:45.049036'
