#,Class,Status,Time
'1','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-13 18:39:47.239719'
'2','Warm Stretch 溫和伸展' by 'Mei Wang',FULL,'2022-03-13 18:39:53.063166'
'91','Warm Stretch 溫和伸展' by 'Mei Wang',FULL,'2022-03-13 21:10:41.763937'
'92','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-13 21:10:41.925218'
'103','Warm Stretch 溫和伸展' by 'Mei Wang',BOOKED,'2022-03-13 21:30:34.236577'
'136','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-13 23:21:32.421818'
'181','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-14 01:52:22.463114'
'226','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-14 04:23:16.046325'
'271','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-14 06:54:09.771468'
'316','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-14 09:25:02.647015'
'361','Vinyasa Intro. 流暢瑜珈入門' by 'Una',FULL,'2022-03-14 11:55:40.769554'
