#,Class,Status,Time
'1','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 12:36:00.178970'
'16','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 12:56:10.642597'
'31','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 13:16:20.940989'
'46','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 13:36:31.359037'
'61','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 13:56:42.353131'
'76','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 14:16:52.797941'
'91','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 14:37:03.245522'
'106','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 14:57:13.628715'
'121','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 15:17:24.282508'
'136','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 15:37:34.659251'
'151','Hatha Yoga 哈達瑜珈' by 'Tumai',FULL,'2021-04-27 15:57:45.111651'
'153','Hatha Yoga 哈達瑜珈' by 'Tumai',BOOKED,'2021-04-27 16:00:06.859041'
