#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2022-10-19 13:43:51.243420'
'2','Yoga Tone' by 'Una',FULL,'2022-10-19 13:45:41.838283'
'3','Yoga Tone' by 'Una',FULL,'2022-10-19 13:47:32.413198'
'4','Yoga Tone' by 'Una',FULL,'2022-10-19 13:49:23.081700'
'5','Yoga Tone' by 'Una',FULL,'2022-10-19 13:51:14.021922'
'6','Yoga Tone' by 'Una',FULL,'2022-10-19 13:53:04.623387'
'7','Yoga Tone' by 'Una',FULL,'2022-10-19 13:54:55.212840'
'8','Yoga Tone' by 'Una',FULL,'2022-10-19 13:56:45.802079'
'9','Yoga Tone' by 'Una',FULL,'2022-10-19 13:58:36.386373'
'10','Yoga Tone' by 'Una',FULL,'2022-10-19 14:00:26.977360'
'11','Yoga Tone' by 'Una',FULL,'2022-10-19 14:02:17.904447'
'12','Yoga Tone' by 'Una',FULL,'2022-10-19 14:04:08.491182'
'13','Yoga Tone' by 'Una',FULL,'2022-10-19 14:05:59.088436'
'14','Yoga Tone' by 'Una',FULL,'2022-10-19 14:07:49.669510'
'15','Yoga Tone' by 'Una',FULL,'2022-10-19 14:09:40.242431'
'16','Yoga Tone' by 'Una',FULL,'2022-10-19 14:11:30.835275'
'17','Yoga Tone' by 'Una',FULL,'2022-10-19 14:13:21.744131'
'18','Yoga Tone' by 'Una',FULL,'2022-10-19 14:15:12.324946'
'19','Yoga Tone' by 'Una',FULL,'2022-10-19 14:17:02.912291'
'20','Yoga Tone' by 'Una',FULL,'2022-10-19 14:18:53.520134'
'21','Yoga Tone' by 'Una',FULL,'2022-10-19 14:20:44.104865'
'22','Yoga Tone' by 'Una',FULL,'2022-10-19 14:22:34.689532'
'23','Yoga Tone' by 'Una',FULL,'2022-10-19 14:24:25.601673'
'24','Yoga Tone' by 'Una',FULL,'2022-10-19 14:26:16.171036'
'25','Yoga Tone' by 'Una',FULL,'2022-10-19 14:28:06.754319'
'26','Yoga Tone' by 'Una',FULL,'2022-10-19 14:29:57.355646'
'27','Yoga Tone' by 'Una',FULL,'2022-10-19 14:31:47.957909'
'28','Yoga Tone' by 'Una',FULL,'2022-10-19 14:33:38.579360'
'29','Yoga Tone' by 'Una',FULL,'2022-10-19 14:35:29.428845'
'30','Yoga Tone' by 'Una',FULL,'2022-10-19 14:37:20.041465'
'31','Yoga Tone' by 'Una',FULL,'2022-10-19 14:39:10.649587'
'32','Yoga Tone' by 'Una',FULL,'2022-10-19 14:41:01.265552'
'33','Yoga Tone' by 'Una',FULL,'2022-10-19 14:42:51.887628'
'34','Yoga Tone' by 'Una',FULL,'2022-10-19 14:44:42.457046'
'35','Yoga Tone' by 'Una',FULL,'2022-10-19 14:46:33.359611'
'36','Yoga Tone' by 'Una',FULL,'2022-10-19 14:48:23.934046'
'37','Yoga Tone' by 'Una',FULL,'2022-10-19 14:50:14.544518'
'38','Yoga Tone' by 'Una',FULL,'2022-10-19 14:52:05.152890'
'39','Yoga Tone' by 'Una',FULL,'2022-10-19 14:53:55.773438'
'40','Yoga Tone' by 'Una',FULL,'2022-10-19 14:55:46.393789'
'41','Yoga Tone' by 'Una',FULL,'2022-10-19 14:57:37.310188'
'42','Yoga Tone' by 'Una',FULL,'2022-10-19 14:59:27.895734'
'43','Yoga Tone' by 'Una',FULL,'2022-10-19 15:01:18.490603'
'44','Yoga Tone' by 'Una',FULL,'2022-10-19 15:03:09.070033'
'45','Yoga Tone' by 'Una',FULL,'2022-10-19 15:04:59.699537'
'46','Yoga Tone' by 'Una',FULL,'2022-10-19 15:06:50.283633'
'47','Yoga Tone' by 'Una',FULL,'2022-10-19 15:08:41.167095'
'48','Yoga Tone' by 'Una',FULL,'2022-10-19 15:10:31.757373'
'49','Yoga Tone' by 'Una',FULL,'2022-10-19 15:12:22.370540'
'50','Yoga Tone' by 'Una',FULL,'2022-10-19 15:14:12.942267'
'51','Yoga Tone' by 'Una',FULL,'2022-10-19 15:16:03.549615'
'52','Yoga Tone' by 'Una',FULL,'2022-10-19 15:17:54.142447'
'53','Yoga Tone' by 'Una',FULL,'2022-10-19 15:19:45.042533'
'54','Yoga Tone' by 'Una',FULL,'2022-10-19 15:21:35.704016'
'55','Yoga Tone' by 'Una',FULL,'2022-10-19 15:23:26.334724'
'56','Yoga Tone' by 'Una',FULL,'2022-10-19 15:25:16.906100'
'57','Yoga Tone' by 'Una',FULL,'2022-10-19 15:27:07.520950'
'58','Yoga Tone' by 'Una',FULL,'2022-10-19 15:28:58.109099'
'59','Yoga Tone' by 'Una',FULL,'2022-10-19 15:30:49.005439'
'60','Yoga Tone' by 'Una',FULL,'2022-10-19 15:32:39.595960'
'61','Yoga Tone' by 'Una',FULL,'2022-10-19 15:34:30.189608'
'62','Yoga Tone' by 'Una',FULL,'2022-10-19 15:36:20.793310'
'63','Yoga Tone' by 'Una',FULL,'2022-10-19 15:38:11.375859'
'64','Yoga Tone' by 'Una',FULL,'2022-10-19 15:40:01.976702'
'65','Yoga Tone' by 'Una',FULL,'2022-10-19 15:41:52.860832'
'66','Yoga Tone' by 'Una',FULL,'2022-10-19 15:43:43.456986'
'67','Yoga Tone' by 'Una',FULL,'2022-10-19 15:45:34.029135'
'68','Yoga Tone' by 'Una',FULL,'2022-10-19 15:47:24.653273'
'69','Yoga Tone' by 'Una',FULL,'2022-10-19 15:49:15.230779'
'70','Yoga Tone' by 'Una',FULL,'2022-10-19 15:51:05.813346'
'71','Yoga Tone' by 'Una',FULL,'2022-10-19 15:52:56.676468'
'72','Yoga Tone' by 'Una',FULL,'2022-10-19 15:54:47.267079'
'73','Yoga Tone' by 'Una',FULL,'2022-10-19 15:56:37.861515'
'74','Yoga Tone' by 'Una',FULL,'2022-10-19 15:58:28.501067'
'75','Yoga Tone' by 'Una',FULL,'2022-10-19 16:00:19.127396'
'76','Yoga Tone' by 'Una',FULL,'2022-10-19 16:02:09.712813'
'77','Yoga Tone' by 'Una',FULL,'2022-10-19 16:04:00.609863'
'78','Yoga Tone' by 'Una',FULL,'2022-10-19 16:05:51.215945'
'79','Yoga Tone' by 'Una',FULL,'2022-10-19 16:07:41.794625'
'80','Yoga Tone' by 'Una',FULL,'2022-10-19 16:09:32.414050'
'81','Yoga Tone' by 'Una',FULL,'2022-10-19 16:11:23.045551'
'82','Yoga Tone' by 'Una',FULL,'2022-10-19 16:13:13.655013'
'83','Yoga Tone' by 'Una',FULL,'2022-10-19 16:15:04.627490'
'84','Yoga Tone' by 'Una',FULL,'2022-10-19 16:16:55.246764'
'85','Yoga Tone' by 'Una',FULL,'2022-10-19 16:18:45.873537'
'86','Yoga Tone' by 'Una',FULL,'2022-10-19 16:20:36.469006'
'87','Yoga Tone' by 'Una',FULL,'2022-10-19 16:22:27.080679'
'88','Yoga Tone' by 'Una',FULL,'2022-10-19 16:24:17.683463'
'89','Yoga Tone' by 'Una',FULL,'2022-10-19 16:26:08.535995'
'90','Yoga Tone' by 'Una',FULL,'2022-10-19 16:27:59.138104'
'91','Yoga Tone' by 'Una',FULL,'2022-10-19 16:29:49.749488'
'92','Yoga Tone' by 'Una',FULL,'2022-10-19 16:31:40.339026'
'93','Yoga Tone' by 'Una',FULL,'2022-10-19 16:33:30.940092'
'94','Yoga Tone' by 'Una',FULL,'2022-10-19 16:35:21.548940'
'95','Yoga Tone' by 'Una',FULL,'2022-10-19 16:37:12.415268'
'96','Yoga Tone' by 'Una',FULL,'2022-10-19 16:39:03.052124'
'97','Yoga Tone' by 'Una',FULL,'2022-10-19 16:40:53.646933'
'98','Yoga Tone' by 'Una',FULL,'2022-10-19 16:42:44.261032'
'99','Yoga Tone' by 'Una',FULL,'2022-10-19 16:44:34.871479'
'100','Yoga Tone' by 'Una',FULL,'2022-10-19 16:46:25.488572'
'101','Yoga Tone' by 'Una',FULL,'2022-10-19 16:48:16.345361'
'102','Yoga Tone' by 'Una',FULL,'2022-10-19 16:50:06.946519'
'103','Yoga Tone' by 'Una',FULL,'2022-10-19 16:51:57.530897'
'104','Yoga Tone' by 'Una',FULL,'2022-10-19 16:53:48.119037'
'105','Yoga Tone' by 'Una',FULL,'2022-10-19 16:55:38.702600'
'106','Yoga Tone' by 'Una',FULL,'2022-10-19 16:57:29.279371'
'107','Yoga Tone' by 'Una',FULL,'2022-10-19 16:59:20.135429'
'108','Yoga Tone' by 'Una',FULL,'2022-10-19 17:01:10.733006'
'109','Yoga Tone' by 'Una',FULL,'2022-10-19 17:03:01.355082'
'110','Yoga Tone' by 'Una',FULL,'2022-10-19 17:04:51.955170'
'111','Yoga Tone' by 'Una',FULL,'2022-10-19 17:06:42.542040'
'112','Yoga Tone' by 'Una',FULL,'2022-10-19 17:08:33.141445'
'113','Yoga Tone' by 'Una',FULL,'2022-10-19 17:10:24.023947'
'114','Yoga Tone' by 'Una',FULL,'2022-10-19 17:12:14.623512'
'115','Yoga Tone' by 'Una',FULL,'2022-10-19 17:14:05.234084'
'116','Yoga Tone' by 'Una',FULL,'2022-10-19 17:15:55.842383'
'117','Yoga Tone' by 'Una',FULL,'2022-10-19 17:17:46.479009'
'118','Yoga Tone' by 'Una',FULL,'2022-10-19 17:19:37.081796'
'119','Yoga Tone' by 'Una',FULL,'2022-10-19 17:21:28.010225'
'120','Yoga Tone' by 'Una',FULL,'2022-10-19 17:23:18.603144'
'121','Yoga Tone' by 'Una',FULL,'2022-10-19 17:25:09.196736'
'122','Yoga Tone' by 'Una',FULL,'2022-10-19 17:26:59.809536'
'123','Yoga Tone' by 'Una',FULL,'2022-10-19 17:28:50.467311'
'124','Yoga Tone' by 'Una',FULL,'2022-10-19 17:30:41.073322'
'125','Yoga Tone' by 'Una',FULL,'2022-10-19 17:32:31.937392'
'126','Yoga Tone' by 'Una',FULL,'2022-10-19 17:34:22.512240'
'127','Yoga Tone' by 'Una',FULL,'2022-10-19 17:36:13.097073'
'128','Yoga Tone' by 'Una',FULL,'2022-10-19 17:38:03.670372'
'129','Yoga Tone' by 'Una',FULL,'2022-10-19 17:39:54.289335'
'130','Yoga Tone' by 'Una',FULL,'2022-10-19 17:41:44.910643'
'131','Yoga Tone' by 'Una',FULL,'2022-10-19 17:43:35.808979'
'132','Yoga Tone' by 'Una',FULL,'2022-10-19 17:45:26.412373'
'133','Yoga Tone' by 'Una',FULL,'2022-10-19 17:47:17.001411'
'134','Yoga Tone' by 'Una',FULL,'2022-10-19 17:49:07.588947'
'135','Yoga Tone' by 'Una',FULL,'2022-10-19 17:50:58.211638'
'136','Yoga Tone' by 'Una',FULL,'2022-10-19 17:52:48.805926'
'137','Yoga Tone' by 'Una',FULL,'2022-10-19 17:54:39.674387'
'138','Yoga Tone' by 'Una',FULL,'2022-10-19 17:56:30.343450'
'139','Yoga Tone' by 'Una',FULL,'2022-10-19 17:58:20.940271'
'140','Yoga Tone' by 'Una',FULL,'2022-10-19 18:00:11.528790'
'141','Yoga Tone' by 'Una',FULL,'2022-10-19 18:02:02.136490'
'142','Yoga Tone' by 'Una',FULL,'2022-10-19 18:03:52.715240'
'143','Yoga Tone' by 'Una',FULL,'2022-10-19 18:05:43.598438'
'144','Yoga Tone' by 'Una',FULL,'2022-10-19 18:07:34.215703'
'145','Yoga Tone' by 'Una',FULL,'2022-10-19 18:09:24.839859'
'146','Yoga Tone' by 'Una',FULL,'2022-10-19 18:11:15.432308'
'147','Yoga Tone' by 'Una',FULL,'2022-10-19 18:13:06.030557'
'148','Yoga Tone' by 'Una',FULL,'2022-10-19 18:14:56.657608'
'149','Yoga Tone' by 'Una',FULL,'2022-10-19 18:16:47.562834'
'150','Yoga Tone' by 'Una',FULL,'2022-10-19 18:18:38.187833'
'151','Yoga Tone' by 'Una',FULL,'2022-10-19 18:20:28.765884'
'152','Yoga Tone' by 'Una',FULL,'2022-10-19 18:22:19.397248'
'153','Yoga Tone' by 'Una',FULL,'2022-10-19 18:24:10.019697'
'154','Yoga Tone' by 'Una',FULL,'2022-10-19 18:26:00.621041'
'155','Yoga Tone' by 'Una',FULL,'2022-10-19 18:27:51.517564'
'156','Yoga Tone' by 'Una',FULL,'2022-10-19 18:29:42.141474'
'157','Yoga Tone' by 'Una',FULL,'2022-10-19 18:31:32.716583'
'158','Yoga Tone' by 'Una',FULL,'2022-10-19 18:33:23.533603'
'159','Yoga Tone' by 'Una',FULL,'2022-10-19 18:35:14.197547'
'160','Yoga Tone' by 'Una',FULL,'2022-10-19 18:37:04.819858'
'161','Yoga Tone' by 'Una',FULL,'2022-10-19 18:38:55.763700'
'162','Yoga Tone' by 'Una',FULL,'2022-10-19 18:40:46.397939'
'163','Yoga Tone' by 'Una',FULL,'2022-10-19 18:42:36.968475'
'164','Yoga Tone' by 'Una',FULL,'2022-10-19 18:44:27.543472'
'165','Yoga Tone' by 'Una',FULL,'2022-10-19 18:46:18.116816'
'166','Yoga Tone' by 'Una',FULL,'2022-10-19 18:48:08.705143'
'167','Yoga Tone' by 'Una',FULL,'2022-10-19 18:49:59.566433'
'168','Yoga Tone' by 'Una',FULL,'2022-10-19 18:51:50.139058'
