#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2022-05-09 21:37:41.948582'
'46','Yoga Tone' by 'Una',FULL,'2022-05-09 23:00:40.130810'
'91','Yoga Tone' by 'Una',FULL,'2022-05-10 00:23:38.637660'
'136','Yoga Tone' by 'Una',FULL,'2022-05-10 01:46:38.847803'
'181','Yoga Tone' by 'Una',FULL,'2022-05-10 03:09:38.405288'
'226','Yoga Tone' by 'Una',FULL,'2022-05-10 04:32:37.626537'
'271','Yoga Tone' by 'Una',FULL,'2022-05-10 05:55:38.350304'
'316','Yoga Tone' by 'Una',FULL,'2022-05-10 07:18:37.767243'
'361','Yoga Tone' by 'Una',FULL,'2022-05-10 08:41:40.045279'
'406','Yoga Tone' by 'Una',FULL,'2022-05-10 10:04:44.275791'
'451','Yoga Tone' by 'Una',FULL,'2022-05-10 11:27:45.344819'
'496','Yoga Tone' by 'Una',FULL,'2022-05-10 12:50:45.035608'
'541','Yoga Tone' by 'Una',FULL,'2022-05-10 14:13:45.893879'
'586','Yoga Tone' by 'Una',FULL,'2022-05-10 15:36:47.105403'
'631','Yoga Tone' by 'Una',FULL,'2022-05-10 16:59:47.874360'
