#,Class,Status,Time
'1','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 18:27:45.591365'
'2','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 18:27:48.911580'
'3','Yoga Tone' by 'Una',FULL,'2021-12-22 18:27:52.083918'
'4','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 18:27:55.427303'
'5','Yoga Tone 2' by 'Una',FULL,'2021-12-22 18:27:58.629297'
'6','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 18:28:01.833454'
'91','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 18:47:55.071865'
'92','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 18:47:58.233320'
'93','Yoga Tone' by 'Una',FULL,'2021-12-22 18:48:01.447550'
'94','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 18:48:02.661015'
'95','Yoga Tone 2' by 'Una',FULL,'2021-12-22 18:48:05.887094'
'96','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 18:48:09.055372'
