#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2023-03-16 11:11:31.397693'
'2','Yoga Tone' by 'Una',FULL,'2023-03-16 11:13:22.015283'
'3','Yoga Tone' by 'Una',FULL,'2023-03-16 11:15:12.583700'
'4','Yoga Tone' by 'Una',FULL,'2023-03-16 11:17:03.185265'
'5','Yoga Tone' by 'Una',FULL,'2023-03-16 11:18:53.871244'
'6','Yoga Tone' by 'Una',FULL,'2023-03-16 11:20:45.418734'
'7','Yoga Tone' by 'Una',FULL,'2023-03-16 11:22:36.043056'
'8','Yoga Tone' by 'Una',FULL,'2023-03-16 11:24:26.656115'
'9','Yoga Tone' by 'Una',FULL,'2023-03-16 11:26:17.243189'
'10','Yoga Tone' by 'Una',FULL,'2023-03-16 11:28:07.952668'
'11','Yoga Tone' by 'Una',FULL,'2023-03-16 11:29:58.547615'
'12','Yoga Tone' by 'Una',FULL,'2023-03-16 11:31:50.108648'
'13','Yoga Tone' by 'Una',FULL,'2023-03-16 11:33:40.718394'
'14','Yoga Tone' by 'Una',FULL,'2023-03-16 11:35:31.315758'
'15','Yoga Tone' by 'Una',FULL,'2023-03-16 11:37:21.908477'
'16','Yoga Tone' by 'Una',FULL,'2023-03-16 11:39:12.512925'
'17','Yoga Tone' by 'Una',FULL,'2023-03-16 11:41:03.124205'
'18','Yoga Tone' by 'Una',FULL,'2023-03-16 11:42:54.664887'
'19','Yoga Tone' by 'Una',FULL,'2023-03-16 11:44:45.248095'
'20','Yoga Tone' by 'Una',FULL,'2023-03-16 11:46:35.835618'
'21','Yoga Tone' by 'Una',FULL,'2023-03-16 11:48:26.492609'
'22','Yoga Tone' by 'Una',FULL,'2023-03-16 11:50:17.103601'
'23','Yoga Tone' by 'Una',FULL,'2023-03-16 11:52:07.725648'
'24','Yoga Tone' by 'Una',FULL,'2023-03-16 11:53:59.316211'
'25','Yoga Tone' by 'Una',FULL,'2023-03-16 11:55:50.183016'
'26','Yoga Tone' by 'Una',FULL,'2023-03-16 11:57:40.785123'
'27','Yoga Tone' by 'Una',FULL,'2023-03-16 11:59:31.434733'
'28','Yoga Tone' by 'Una',FULL,'2023-03-16 12:01:22.112628'
'29','Yoga Tone' by 'Una',FULL,'2023-03-16 12:03:12.813335'
'30','Yoga Tone' by 'Una',FULL,'2023-03-16 12:05:04.389201'
'31','Yoga Tone' by 'Una',FULL,'2023-03-16 12:06:55.017489'
'32','Yoga Tone' by 'Una',FULL,'2023-03-16 12:08:45.641828'
'33','Yoga Tone' by 'Una',FULL,'2023-03-16 12:10:36.241520'
'34','Yoga Tone' by 'Una',FULL,'2023-03-16 12:12:26.837604'
'35','Yoga Tone' by 'Una',FULL,'2023-03-16 12:14:17.466732'
'36','Yoga Tone' by 'Una',FULL,'2023-03-16 12:16:09.093877'
'37','Yoga Tone' by 'Una',FULL,'2023-03-16 12:17:59.729960'
'38','Yoga Tone' by 'Una',FULL,'2023-03-16 12:19:50.331994'
'39','Yoga Tone' by 'Una',FULL,'2023-03-16 12:21:40.943020'
'40','Yoga Tone' by 'Una',FULL,'2023-03-16 12:23:31.591967'
'41','Yoga Tone' by 'Una',FULL,'2023-03-16 12:25:22.219976'
'42','Yoga Tone' by 'Una',FULL,'2023-03-16 12:27:13.798125'
'43','Yoga Tone' by 'Una',FULL,'2023-03-16 12:29:04.382119'
'44','Yoga Tone' by 'Una',FULL,'2023-03-16 12:30:55.023245'
'45','Yoga Tone' by 'Una',FULL,'2023-03-16 12:32:45.653155'
'46','Yoga Tone' by 'Una',FULL,'2023-03-16 12:34:36.280076'
'47','Yoga Tone' by 'Una',FULL,'2023-03-16 12:36:26.882576'
'48','Yoga Tone' by 'Una',FULL,'2023-03-16 12:38:18.600998'
'49','Yoga Tone' by 'Una',FULL,'2023-03-16 12:40:09.205523'
'50','Yoga Tone' by 'Una',FULL,'2023-03-16 12:41:59.846758'
'51','Yoga Tone' by 'Una',FULL,'2023-03-16 12:43:50.485952'
'52','Yoga Tone' by 'Una',FULL,'2023-03-16 12:45:41.217077'
'53','Yoga Tone' by 'Una',FULL,'2023-03-16 12:47:31.916257'
