#,Class,Status,Time
'1','Universal Yoga 寰宇瑜珈' by 'YaYa',FULL,'2022-01-12 23:18:57.159017'
'2','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-01-12 23:19:05.833979'
'91','Universal Yoga 寰宇瑜珈' by 'YaYa',FULL,'2022-01-13 01:51:05.233134'
'92','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-01-13 01:51:06.210346'
'181','Universal Yoga 寰宇瑜珈' by 'YaYa',FULL,'2022-01-13 04:22:11.114654'
'182','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-01-13 04:22:11.692251'
'271','Universal Yoga 寰宇瑜珈' by 'YaYa',FULL,'2022-01-13 06:53:03.896364'
'271','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-01-13 06:53:03.896502'
'361','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-01-13 09:23:39.509943'
'362','Universal Yoga 寰宇瑜珈' by 'YaYa',FULL,'2022-01-13 09:23:39.511375'
'451','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-01-13 11:54:16.144715'
'451','Universal Yoga 寰宇瑜珈' by 'YaYa',FULL,'2022-01-13 11:54:16.144851'
