#,Class,Status,Time
'1','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-02 22:22:08.517663'
'2','Yoga Tone 2' by 'Una',FULL,'2021-02-02 22:22:13.249645'
'3','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-02-02 22:22:17.821058'
'91','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-02 22:48:36.494197'
'92','Yoga Tone 2' by 'Una',FULL,'2021-02-02 22:48:38.982293'
'93','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-02-02 22:48:43.651553'
'112','Warm Stretch 溫和伸展' by 'Una',BOOKED,'2021-02-02 22:54:45.332415'
'121','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-02 22:58:18.292676'
'122','Yoga Tone 2' by 'Una',FULL,'2021-02-02 22:59:09.992824'
'181','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-02 23:23:42.657611'
'182','Yoga Tone 2' by 'Una',FULL,'2021-02-02 23:24:32.926269'
'241','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-02 23:50:32.239092'
'242','Yoga Tone 2' by 'Una',FULL,'2021-02-02 23:51:19.752050'
'301','Yoga Tone 2' by 'Una',FULL,'2021-02-03 00:16:59.599746'
'302','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 00:17:46.096655'
'361','Yoga Tone 2' by 'Una',FULL,'2021-02-03 00:42:19.371481'
'362','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 00:43:05.867126'
