#,Class,Status,Time
'1','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:47:25.540856'
'2','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:47:40.087352'
'3','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:48:46.147901'
'4','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:49:00.699524'
'5','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:50:06.786732'
'6','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:50:21.310724'
'7','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:51:27.386241'
'8','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:51:41.952307'
'9','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:52:47.990035'
'10','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:53:02.580541'
'11','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:54:08.592975'
'12','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:54:23.199527'
'13','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:55:29.176611'
'14','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:55:44.364233'
'15','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:56:49.774855'
'16','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:57:04.958886'
'17','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:58:10.366279'
'18','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:58:25.578461'
'19','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 20:59:30.962338'
'20','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 20:59:46.184179'
'21','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:00:51.968918'
'22','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:01:06.794163'
'23','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:02:12.586270'
'24','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:02:27.421232'
'25','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:03:33.168108'
'26','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:03:47.998514'
'27','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:04:53.764751'
'28','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:05:08.587611'
'29','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:06:14.921305'
'30','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:06:29.196880'
'31','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:07:35.526112'
'32','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:07:49.801901'
'33','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:08:56.116188'
'34','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:09:10.398607'
'35','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:10:16.729546'
'36','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:10:30.993771'
'37','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:11:37.301463'
'38','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:11:51.621083'
'39','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:12:57.926973'
'40','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:13:12.207335'
'41','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:14:18.528030'
'42','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:14:32.791164'
'43','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:15:39.117198'
'44','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:15:53.380781'
'45','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:17:00.215261'
'46','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:17:13.987384'
'47','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:18:20.840901'
'48','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:18:34.619598'
'49','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:19:41.420955'
'50','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:19:55.245861'
'51','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:21:02.016957'
'52','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:21:15.858794'
'53','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:22:22.615802'
'54','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:22:36.456144'
'55','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:23:43.235919'
'56','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:23:57.073593'
'57','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:25:03.840948'
'58','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:25:17.682940'
'59','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:26:24.468443'
'60','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:26:38.272806'
'61','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:27:45.713359'
'62','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:27:58.904057'
'63','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:29:06.322074'
'64','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:29:19.530778'
'65','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:30:54.315810'
'66','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:30:57.533569'
'67','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:32:14.935127'
'68','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:32:18.173486'
'69','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:33:35.534935'
'70','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:33:38.825785'
'71','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:34:56.153686'
'72','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2023-05-15 21:34:59.429710'
'73','Aerial Yoga Basic 空中瑜珈入門' by 'Joe',FULL,'2023-05-15 21:36:16.728843'
