#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2023-03-13 20:19:47.995989'
'2','Yoga Tone' by 'Una',FULL,'2023-03-13 20:21:39.018388'
'3','Yoga Tone' by 'Una',FULL,'2023-03-13 20:23:29.605851'
'4','Yoga Tone' by 'Una',FULL,'2023-03-13 20:25:20.224999'
'5','Yoga Tone' by 'Una',FULL,'2023-03-13 20:27:10.814222'
'6','Yoga Tone' by 'Una',FULL,'2023-03-13 20:29:01.443975'
'7','Yoga Tone' by 'Una',FULL,'2023-03-13 20:30:53.117250'
'8','Yoga Tone' by 'Una',FULL,'2023-03-13 20:32:43.729320'
'9','Yoga Tone' by 'Una',FULL,'2023-03-13 20:34:34.315070'
'10','Yoga Tone' by 'Una',FULL,'2023-03-13 20:36:24.922840'
'11','Yoga Tone' by 'Una',FULL,'2023-03-13 20:38:15.531775'
'12','Yoga Tone' by 'Una',FULL,'2023-03-13 20:40:06.159654'
'13','Yoga Tone' by 'Una',FULL,'2023-03-13 20:41:57.713548'
'14','Yoga Tone' by 'Una',FULL,'2023-03-13 20:43:48.294767'
'15','Yoga Tone' by 'Una',FULL,'2023-03-13 20:45:39.064754'
'16','Yoga Tone' by 'Una',FULL,'2023-03-13 20:47:29.652847'
'17','Yoga Tone' by 'Una',FULL,'2023-03-13 20:49:20.297662'
'18','Yoga Tone' by 'Una',FULL,'2023-03-13 20:51:10.912794'
'19','Yoga Tone' by 'Una',FULL,'2023-03-13 20:53:02.468495'
'20','Yoga Tone' by 'Una',FULL,'2023-03-13 20:54:53.057444'
'21','Yoga Tone' by 'Una',FULL,'2023-03-13 20:56:43.640189'
'22','Yoga Tone' by 'Una',FULL,'2023-03-13 20:58:34.213972'
'23','Yoga Tone' by 'Una',FULL,'2023-03-13 21:00:54.859388'
'24','Yoga Tone' by 'Una',FULL,'2023-03-13 21:02:45.473582'
'25','Yoga Tone' by 'Una',FULL,'2023-03-13 21:04:37.109621'
'26','Yoga Tone' by 'Una',FULL,'2023-03-13 21:06:27.742431'
'27','Yoga Tone' by 'Una',FULL,'2023-03-13 21:08:18.342175'
