#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2022-10-20 01:21:25.370382'
'2','Yoga Tone' by 'Una',FULL,'2022-10-20 01:23:15.988842'
'3','Yoga Tone' by 'Una',FULL,'2022-10-20 01:25:06.931525'
'4','Yoga Tone' by 'Una',FULL,'2022-10-20 01:26:57.567722'
'5','Yoga Tone' by 'Una',FULL,'2022-10-20 01:28:48.193185'
'6','Yoga Tone' by 'Una',FULL,'2022-10-20 01:30:38.765439'
'7','Yoga Tone' by 'Una',FULL,'2022-10-20 01:32:29.354144'
'8','Yoga Tone' by 'Una',FULL,'2022-10-20 01:34:19.939310'
'9','Yoga Tone' by 'Una',FULL,'2022-10-20 01:36:10.853216'
'10','Yoga Tone' by 'Una',FULL,'2022-10-20 01:38:01.520416'
'11','Yoga Tone' by 'Una',FULL,'2022-10-20 01:39:52.123550'
'12','Yoga Tone' by 'Una',FULL,'2022-10-20 01:41:42.770863'
'13','Yoga Tone' by 'Una',FULL,'2022-10-20 01:43:33.374682'
'14','Yoga Tone' by 'Una',FULL,'2022-10-20 01:45:23.972428'
'15','Yoga Tone' by 'Una',FULL,'2022-10-20 01:47:14.883387'
'16','Yoga Tone' by 'Una',FULL,'2022-10-20 01:49:05.470046'
'17','Yoga Tone' by 'Una',FULL,'2022-10-20 01:50:56.090837'
'18','Yoga Tone' by 'Una',FULL,'2022-10-20 01:52:46.702050'
'19','Yoga Tone' by 'Una',FULL,'2022-10-20 01:54:37.314826'
'20','Yoga Tone' by 'Una',FULL,'2022-10-20 01:56:27.923892'
'21','Yoga Tone' by 'Una',FULL,'2022-10-20 01:58:18.803919'
'22','Yoga Tone' by 'Una',FULL,'2022-10-20 02:00:09.384968'
'23','Yoga Tone' by 'Una',FULL,'2022-10-20 02:01:59.997549'
'24','Yoga Tone' by 'Una',FULL,'2022-10-20 02:03:50.595881'
'25','Yoga Tone' by 'Una',FULL,'2022-10-20 02:05:41.213831'
'26','Yoga Tone' by 'Una',FULL,'2022-10-20 02:07:31.797460'
'27','Yoga Tone' by 'Una',FULL,'2022-10-20 02:09:22.694919'
'28','Yoga Tone' by 'Una',FULL,'2022-10-20 02:11:13.316435'
'29','Yoga Tone' by 'Una',FULL,'2022-10-20 02:13:03.896394'
'30','Yoga Tone' by 'Una',FULL,'2022-10-20 02:14:54.511473'
'31','Yoga Tone' by 'Una',FULL,'2022-10-20 02:16:45.111709'
'32','Yoga Tone' by 'Una',FULL,'2022-10-20 02:18:35.745213'
'33','Yoga Tone' by 'Una',FULL,'2022-10-20 02:20:26.648960'
'34','Yoga Tone' by 'Una',FULL,'2022-10-20 02:22:17.267468'
'35','Yoga Tone' by 'Una',FULL,'2022-10-20 02:24:07.893791'
'36','Yoga Tone' by 'Una',FULL,'2022-10-20 02:25:58.497245'
'37','Yoga Tone' by 'Una',FULL,'2022-10-20 02:27:49.088433'
'38','Yoga Tone' by 'Una',FULL,'2022-10-20 02:29:39.661263'
'39','Yoga Tone' by 'Una',FULL,'2022-10-20 02:31:30.557184'
'40','Yoga Tone' by 'Una',FULL,'2022-10-20 02:33:21.122345'
'41','Yoga Tone' by 'Una',FULL,'2022-10-20 02:35:11.736096'
'42','Yoga Tone' by 'Una',FULL,'2022-10-20 02:37:02.316417'
'43','Yoga Tone' by 'Una',FULL,'2022-10-20 02:38:52.902087'
'44','Yoga Tone' by 'Una',FULL,'2022-10-20 02:40:43.499941'
'45','Yoga Tone' by 'Una',FULL,'2022-10-20 02:42:34.387138'
'46','Yoga Tone' by 'Una',FULL,'2022-10-20 02:44:25.010169'
'47','Yoga Tone' by 'Una',FULL,'2022-10-20 02:46:15.597270'
'48','Yoga Tone' by 'Una',FULL,'2022-10-20 02:48:06.213165'
'49','Yoga Tone' by 'Una',FULL,'2022-10-20 02:49:56.798719'
'50','Yoga Tone' by 'Una',FULL,'2022-10-20 02:51:47.371471'
'51','Yoga Tone' by 'Una',FULL,'2022-10-20 02:53:38.291486'
'52','Yoga Tone' by 'Una',FULL,'2022-10-20 02:55:28.877986'
'53','Yoga Tone' by 'Una',FULL,'2022-10-20 02:57:19.494625'
'54','Yoga Tone' by 'Una',FULL,'2022-10-20 02:59:10.148926'
'55','Yoga Tone' by 'Una',FULL,'2022-10-20 03:01:00.757856'
'56','Yoga Tone' by 'Una',FULL,'2022-10-20 03:02:51.400268'
'57','Yoga Tone' by 'Una',FULL,'2022-10-20 03:04:42.021109'
'58','Yoga Tone' by 'Una',FULL,'2022-10-20 03:06:32.601274'
'59','Yoga Tone' by 'Una',FULL,'2022-10-20 03:08:23.175225'
'60','Yoga Tone' by 'Una',FULL,'2022-10-20 03:10:13.789133'
'61','Yoga Tone' by 'Una',FULL,'2022-10-20 03:12:04.360459'
'62','Yoga Tone' by 'Una',FULL,'2022-10-20 03:13:55.240682'
'63','Yoga Tone' by 'Una',FULL,'2022-10-20 03:15:45.829191'
'64','Yoga Tone' by 'Una',FULL,'2022-10-20 03:17:36.405472'
'65','Yoga Tone' by 'Una',FULL,'2022-10-20 03:19:27.004937'
'66','Yoga Tone' by 'Una',FULL,'2022-10-20 03:21:17.638811'
'67','Yoga Tone' by 'Una',BOOKED,'2022-10-20 03:22:51.158290'
