#,Class,Status,Time
'1','Yoga Tone 2' by 'Una',FULL,'2021-02-04 22:05:19.668770'
'31','Yoga Tone 2' by 'Una',FULL,'2021-02-04 22:30:51.465375'
'61','Yoga Tone 2' by 'Una',FULL,'2021-02-04 22:56:10.752385'
'91','Yoga Tone 2' by 'Una',FULL,'2021-02-04 23:21:30.147231'
'121','Yoga Tone 2' by 'Una',FULL,'2021-02-04 23:46:49.456973'
'151','Yoga Tone 2' by 'Una',FULL,'2021-02-05 00:12:09.099118'
'181','Yoga Tone 2' by 'Una',FULL,'2021-02-05 00:37:28.744249'
'211','Yoga Tone 2' by 'Una',FULL,'2021-02-05 01:02:48.654359'
'241','Yoga Tone 2' by 'Una',FULL,'2021-02-05 01:28:08.360036'
'271','Yoga Tone 2' by 'Una',FULL,'2021-02-05 01:53:28.054815'
'301','Yoga Tone 2' by 'Una',FULL,'2021-02-05 02:18:47.615233'
'331','Yoga Tone 2' by 'Una',FULL,'2021-02-05 02:44:07.106523'
