#,Class,Status,Time
'1','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:16:31.782743'
'2','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:16:46.085783'
'3','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:17:01.142078'
'4','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:17:15.555402'
'5','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:18:22.402699'
'6','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:18:36.691364'
'7','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:18:51.757083'
'8','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:19:06.184870'
'9','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:20:13.110571'
'10','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:20:27.314005'
'11','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:20:42.386037'
'12','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:20:56.831548'
'13','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:22:03.712286'
'14','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:22:17.944942'
'15','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:22:33.000246'
'16','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:22:47.425371'
'17','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:23:54.510964'
'18','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:24:08.581808'
'19','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:24:23.629722'
'20','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:24:38.036635'
'21','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:25:45.147414'
'22','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:25:59.229534'
'23','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:26:14.245733'
'24','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:26:28.642987'
'25','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:27:35.745382'
'26','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:27:49.850129'
'27','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:28:04.893423'
'28','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:28:19.273557'
'29','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:29:26.391807'
'30','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:29:40.518920'
'31','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:29:55.509530'
'32','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:30:09.915908'
'33','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:31:17.010014'
'34','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:31:31.151694'
'35','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:31:46.100103'
