#,Class,Status,Time
'1','Hatha Yoga 哈達瑜珈' by 'Marcus',FULL,'2022-02-02 23:06:44.225162'
'2','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2022-02-02 23:06:51.103728'
'77','Gentle Yoga 和緩瑜珈' by 'Una',BOOKED,'2022-02-03 01:13:49.869281'
'91','Hatha Yoga 哈達瑜珈' by 'Marcus',FULL,'2022-02-03 02:00:43.771779'
'136','Hatha Yoga 哈達瑜珈' by 'Marcus',FULL,'2022-02-03 04:31:23.396284'
'181','Hatha Yoga 哈達瑜珈' by 'Marcus',FULL,'2022-02-03 07:01:53.155988'
'226','Hatha Yoga 哈達瑜珈' by 'Marcus',FULL,'2022-02-03 09:32:22.805797'
