#,Class,Status,Time
'1','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 03:55:22.634912'
'2','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 03:55:27.120633'
'3','Yoga Tone' by 'Una',FULL,'2021-12-22 03:55:31.401717'
'4','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 03:55:35.804224'
'5','Yoga Tone 2' by 'Una',FULL,'2021-12-22 03:55:40.075369'
'6','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 03:55:44.840321'
'91','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 04:15:33.092982'
'92','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 04:15:38.049272'
'93','Yoga Tone' by 'Una',FULL,'2021-12-22 04:15:41.942514'
'94','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 04:15:46.221799'
'95','Yoga Tone 2' by 'Una',FULL,'2021-12-22 04:15:50.658848'
'96','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 04:15:55.271601'
'181','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 04:35:43.648951'
'182','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 04:35:48.399756'
'183','Yoga Tone' by 'Una',FULL,'2021-12-22 04:35:52.496924'
'184','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 04:35:56.761794'
'185','Yoga Tone 2' by 'Una',FULL,'2021-12-22 04:36:01.399804'
'186','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 04:36:05.745347'
'271','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 04:55:54.507841'
'272','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 04:55:58.841265'
'273','Yoga Tone' by 'Una',FULL,'2021-12-22 04:56:02.878428'
'274','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 04:56:07.147951'
'275','Yoga Tone 2' by 'Una',FULL,'2021-12-22 04:56:11.803018'
'276','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 04:56:16.248237'
'361','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 05:16:04.866685'
'362','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 05:16:09.131336'
'363','Yoga Tone' by 'Una',FULL,'2021-12-22 05:16:13.261721'
'364','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 05:16:17.422760'
'365','Yoga Tone 2' by 'Una',FULL,'2021-12-22 05:16:22.078370'
'366','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 05:16:26.821225'
'451','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 05:36:14.888541'
'452','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 05:36:18.936567'
'453','Yoga Tone' by 'Una',FULL,'2021-12-22 05:36:23.315980'
'454','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 05:36:27.319035'
'455','Yoga Tone 2' by 'Una',FULL,'2021-12-22 05:36:31.970727'
'456','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 05:36:36.853141'
'541','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 05:56:24.369873'
'542','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 05:56:28.416735'
'543','Yoga Tone' by 'Una',FULL,'2021-12-22 05:56:32.810133'
'544','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 05:56:36.994280'
'545','Yoga Tone 2' by 'Una',FULL,'2021-12-22 05:56:41.386197'
'546','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 05:56:46.376093'
'631','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 06:16:34.739244'
'632','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 06:16:38.494966'
'633','Yoga Tone' by 'Una',FULL,'2021-12-22 06:16:43.011013'
'634','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 06:16:47.074820'
'635','Yoga Tone 2' by 'Una',FULL,'2021-12-22 06:16:51.565555'
'636','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 06:16:56.654522'
'721','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 06:36:44.315604'
'722','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 06:36:48.021999'
'723','Yoga Tone' by 'Una',FULL,'2021-12-22 06:36:52.500596'
'724','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 06:36:56.579106'
'725','Yoga Tone 2' by 'Una',FULL,'2021-12-22 06:37:01.195361'
'726','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 06:37:06.261660'
'811','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 06:56:53.726699'
'812','Warm Stretch 溫和伸展' by 'Una',FULL,'2021-12-22 06:56:57.413933'
'813','Yoga Tone' by 'Una',FULL,'2021-12-22 06:57:01.766933'
'814','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-12-22 06:57:05.951115'
'815','Yoga Tone 2' by 'Una',FULL,'2021-12-22 06:57:10.567493'
'816','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-12-22 06:57:15.606548'
'901','Gentle Yoga 和緩瑜珈' by 'Mei Wang',FULL,'2021-12-22 07:17:03.232038'
