#,Class,Status,Time
'1','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 00:36:03.092160'
'2','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 00:36:05.668222'
'31','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 00:56:12.797511'
'32','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 00:56:15.420232'
'61','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 01:16:22.461971'
'62','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 01:16:25.186794'
'91','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 01:36:32.111796'
'92','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 01:36:34.661456'
'121','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 01:56:41.702680'
'122','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 01:56:44.214623'
'151','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 02:16:51.304098'
'152','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 02:16:53.865842'
'181','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 02:37:01.014054'
'182','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 02:37:03.491009'
'211','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 02:57:18.614012'
'212','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 02:57:18.717204'
'241','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 03:17:33.647840'
'242','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 03:17:36.398073'
'271','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 03:37:43.462007'
'272','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 03:37:46.031930'
'301','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 03:57:53.210542'
'302','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 03:57:55.701858'
'331','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 04:18:02.834125'
'332','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 04:18:05.337342'
'361','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 04:38:12.585850'
'362','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 04:38:15.022039'
'391','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 04:58:22.291620'
'392','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 04:58:24.627981'
'421','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 05:18:32.056814'
'422','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 05:18:34.275513'
'451','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 05:38:41.732961'
'452','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 05:38:47.865785'
'481','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 05:58:51.367531'
'482','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 05:58:57.531774'
'511','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 06:19:01.967828'
'512','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 06:19:07.511250'
'541','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 06:39:11.900156'
'542','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 06:39:17.060912'
'571','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 06:59:21.753377'
'572','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 06:59:27.070174'
'601','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 07:19:31.386748'
'602','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 07:19:36.930599'
'631','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 07:39:41.179793'
'632','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 07:39:46.562583'
'661','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 07:59:51.087339'
'662','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 07:59:56.586912'
'691','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 08:20:00.910225'
'692','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 08:20:06.396071'
'721','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 08:40:10.495955'
'722','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 08:40:16.118992'
'751','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 09:00:20.104872'
'752','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 09:00:25.802042'
'781','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 09:20:29.692157'
'782','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 09:20:35.441991'
'811','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 09:40:39.298836'
'812','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 09:40:44.961757'
'841','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 10:00:48.873082'
'842','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 10:00:54.542439'
'871','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 10:20:58.504102'
'872','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 10:21:04.068230'
'901','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 10:41:08.107261'
'902','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 10:41:13.718723'
'931','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 11:01:17.596769'
'932','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 11:01:23.026551'
'961','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 11:21:26.915210'
'962','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 11:21:32.204621'
'991','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 11:41:35.992133'
'992','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 11:41:41.301268'
'1021','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 12:01:45.148360'
'1022','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 12:01:50.370655'
'1051','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 12:21:54.332027'
'1052','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 12:21:59.524923'
'1081','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 12:42:03.420960'
'1082','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 12:42:08.540876'
'1111','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 13:02:12.489568'
'1112','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 13:02:17.594534'
'1141','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 13:22:21.548194'
'1142','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 13:22:26.547999'
'1171','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 13:42:30.637300'
'1172','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 13:42:35.740445'
'1201','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 14:02:39.786170'
'1202','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 14:02:44.848771'
'1231','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 14:22:49.219178'
'1232','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 14:22:54.493113'
'1261','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 14:42:58.450772'
'1262','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 14:43:03.600009'
'1291','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 15:03:07.474823'
'1292','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 15:03:12.668611'
'1321','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 15:23:16.721708'
'1322','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 15:23:21.709936'
'1351','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 15:43:26.207213'
'1352','Hatha Yoga 哈達瑜珈 1' by 'Una',FULL,'2021-02-12 15:43:31.131709'
'1381','Counter Flow 1' by 'Marcus',FULL,'2021-02-12 16:03:35.368152'
