#,Class,Status,Time
'76','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:08:27.731629'
'77','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:10:18.323837'
'78','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:12:08.950371'
'79','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:13:59.600079'
'80','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:15:50.326328'
'81','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:17:40.981155'
'82','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:19:31.643866'
'83','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:21:22.245513'
'84','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:23:12.866150'
'85','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:25:03.529515'
'86','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:26:54.140069'
'87','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:28:44.781903'
'88','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:30:35.427559'
'89','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:32:26.048312'
'90','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:34:16.756692'
'91','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:36:07.586627'
'92','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:37:58.218094'
'93','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:39:48.870369'
'94','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:41:39.535516'
'95','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:43:30.155950'
'96','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:45:20.890252'
'97','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:47:11.590046'
'98','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:49:02.383678'
'99','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:50:53.003824'
'100','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:52:43.703949'
'101','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:54:34.349447'
'102','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:56:25.053053'
'103','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:58:15.730624'
'104','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:00:06.350302'
'105','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:01:57.307914'
'106','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:03:47.953552'
'107','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:05:38.671061'
'108','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:07:29.319577'
'109','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:09:19.976172'
'110','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:11:10.602455'
'111','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:13:01.206553'
'112','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:14:51.849899'
'113','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:16:42.505461'
'114','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:18:33.332362'
'115','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:20:23.994000'
'116','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:22:14.704997'
'117','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:24:05.297402'
'118','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:25:55.959022'
'119','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:27:46.616836'
'120','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:29:37.253622'
'121','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:31:27.930421'
'122','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:33:18.582115'
'123','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:35:09.400967'
'124','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:37:00.035568'
'125','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:38:50.702404'
'126','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:40:41.347586'
'127','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:42:32.039579'
'128','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:44:22.647001'
'129','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:46:13.260986'
'130','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:48:03.901793'
'131','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:49:54.508388'
'132','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:51:45.126731'
'133','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:53:35.805706'
'134','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:55:26.420084'
'135','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:57:17.051228'
'136','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:59:07.657251'
'137','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:00:58.288181'
'138','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:02:48.923990'
'139','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:04:39.585472'
'140','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:06:30.201527'
'141','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:08:20.825004'
'142','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:10:11.416093'
'143','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:12:02.297914'
'144','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:13:53.012076'
'145','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:15:43.813720'
'146','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:17:34.480499'
'147','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:19:25.183168'
'148','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:21:15.938947'
