#,Class,Status,Time
'1','Yoga Tone' by 'Una',FULL,'2022-10-19 18:55:31.726418'
'2','Yoga Tone' by 'Una',FULL,'2022-10-19 18:57:22.420478'
'3','Yoga Tone' by 'Una',FULL,'2022-10-19 18:59:13.077296'
'4','Yoga Tone' by 'Una',FULL,'2022-10-19 19:01:04.012430'
'5','Yoga Tone' by 'Una',FULL,'2022-10-19 19:02:54.641239'
'6','Yoga Tone' by 'Una',FULL,'2022-10-19 19:04:45.314262'
'7','Yoga Tone' by 'Una',FULL,'2022-10-19 19:06:36.027133'
'8','Yoga Tone' by 'Una',FULL,'2022-10-19 19:08:26.725969'
'9','Yoga Tone' by 'Una',FULL,'2022-10-19 19:10:17.373935'
'10','Yoga Tone' by 'Una',FULL,'2022-10-19 19:12:08.345456'
'11','Yoga Tone' by 'Una',FULL,'2022-10-19 19:13:59.032978'
'12','Yoga Tone' by 'Una',FULL,'2022-10-19 19:15:49.814559'
'13','Yoga Tone' by 'Una',FULL,'2022-10-19 19:17:40.477633'
'14','Yoga Tone' by 'Una',FULL,'2022-10-19 19:19:31.203071'
'15','Yoga Tone' by 'Una',FULL,'2022-10-19 19:21:22.079891'
'16','Yoga Tone' by 'Una',FULL,'2022-10-19 19:23:13.092693'
'17','Yoga Tone' by 'Una',FULL,'2022-10-19 19:25:03.876475'
'18','Yoga Tone' by 'Una',FULL,'2022-10-19 19:26:54.570846'
'19','Yoga Tone' by 'Una',FULL,'2022-10-19 19:28:45.245254'
'20','Yoga Tone' by 'Una',FULL,'2022-10-19 19:30:35.909868'
'21','Yoga Tone' by 'Una',FULL,'2022-10-19 19:32:26.545527'
'22','Yoga Tone' by 'Una',FULL,'2022-10-19 19:34:17.517710'
'23','Yoga Tone' by 'Una',FULL,'2022-10-19 19:36:08.214280'
'24','Yoga Tone' by 'Una',FULL,'2022-10-19 19:37:58.898880'
'25','Yoga Tone' by 'Una',FULL,'2022-10-19 19:39:49.570223'
'26','Yoga Tone' by 'Una',FULL,'2022-10-19 19:41:40.330440'
'27','Yoga Tone' by 'Una',FULL,'2022-10-19 19:43:31.020343'
'28','Yoga Tone' by 'Una',FULL,'2022-10-19 19:45:22.017420'
'29','Yoga Tone' by 'Una',FULL,'2022-10-19 19:47:12.729118'
'30','Yoga Tone' by 'Una',FULL,'2022-10-19 19:49:03.433349'
'31','Yoga Tone' by 'Una',FULL,'2022-10-19 19:50:54.160152'
'32','Yoga Tone' by 'Una',FULL,'2022-10-19 19:52:44.825204'
'33','Yoga Tone' by 'Una',FULL,'2022-10-19 19:54:35.468538'
'34','Yoga Tone' by 'Una',FULL,'2022-10-19 19:56:26.408834'
'35','Yoga Tone' by 'Una',FULL,'2022-10-19 19:58:17.069574'
'36','Yoga Tone' by 'Una',FULL,'2022-10-19 20:00:07.868073'
'37','Yoga Tone' by 'Una',FULL,'2022-10-19 20:01:58.562206'
'38','Yoga Tone' by 'Una',FULL,'2022-10-19 20:03:49.252871'
'39','Yoga Tone' by 'Una',FULL,'2022-10-19 20:05:39.932864'
'40','Yoga Tone' by 'Una',FULL,'2022-10-19 20:07:31.070406'
'41','Yoga Tone' by 'Una',FULL,'2022-10-19 20:09:21.844765'
'42','Yoga Tone' by 'Una',FULL,'2022-10-19 20:11:12.486836'
'43','Yoga Tone' by 'Una',FULL,'2022-10-19 20:13:03.145614'
'44','Yoga Tone' by 'Una',FULL,'2022-10-19 20:14:53.821594'
'45','Yoga Tone' by 'Una',FULL,'2022-10-19 20:16:44.482953'
