#,Class,Status,Time
'1','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-12 23:18:29.551106'
'2','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2022-01-12 23:18:36.368215'
'91','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2022-01-13 01:50:09.038150'
'92','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 01:50:09.260294'
'181','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 04:21:13.332409'
'182','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2022-01-13 04:21:14.188733'
'271','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 06:52:05.251127'
'272','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2022-01-13 06:52:06.423569'
'361','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2022-01-13 09:22:41.490539'
'361','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 09:22:41.490598'
'451','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 11:53:16.853884'
'451','Flow Yoga 動瑜珈' by 'Moorthi',FULL,'2022-01-13 11:53:16.853986'
'541','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 14:57:23.419899'
'542','Yin Yoga 陰瑜珈' by 'Moorthi',FULL,'2022-01-13 15:00:44.265463'
