#,Class,Status,Time
'1','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 16:07:05.807003'
'2','Yoga Tone 2' by 'Una',FULL,'2021-02-04 16:07:08.395461'
'61','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 16:32:25.262456'
'62','Yoga Tone 2' by 'Una',FULL,'2021-02-04 16:32:27.818132'
'121','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 16:57:44.711375'
'122','Yoga Tone 2' by 'Una',FULL,'2021-02-04 16:57:47.102579'
'181','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 17:23:04.216874'
'182','Yoga Tone 2' by 'Una',FULL,'2021-02-04 17:23:06.539496'
'241','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 17:48:23.644960'
'242','Yoga Tone 2' by 'Una',FULL,'2021-02-04 17:48:26.076368'
'271','Yoga Wheel 瑜珈輪' by 'Una',BOOKED,'2021-02-04 18:00:43.556171'
'271','Yoga Tone 2' by 'Una',FULL,'2021-02-04 18:01:05.580287'
'301','Yoga Tone 2' by 'Una',FULL,'2021-02-04 18:26:25.005263'
'331','Yoga Tone 2' by 'Una',FULL,'2021-02-04 18:51:44.268918'
'361','Yoga Tone 2' by 'Una',FULL,'2021-02-04 19:17:03.832809'
'391','Yoga Tone 2' by 'Una',FULL,'2021-02-04 19:42:23.377968'
'421','Yoga Tone 2' by 'Una',FULL,'2021-02-04 20:07:42.876577'
'451','Yoga Tone 2' by 'Una',FULL,'2021-02-04 20:33:02.174731'
'481','Yoga Tone 2' by 'Una',FULL,'2021-02-04 20:58:21.579399'
