#,Class,Status,Time
'1','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 21:14:35.566515'
'2','Yoga Tone 2' by 'Una',FULL,'2021-02-03 21:14:38.179700'
'61','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 21:39:55.287637'
'62','Yoga Tone 2' by 'Una',FULL,'2021-02-03 21:39:58.157627'
'121','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 22:05:17.198449'
'122','Yoga Tone 2' by 'Una',FULL,'2021-02-03 22:05:19.183186'
'181','Yoga Tone 2' by 'Una',FULL,'2021-02-03 22:31:11.102807'
'181','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 22:31:11.102748'
'241','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 22:57:10.923786'
'242','Yoga Tone 2' by 'Una',FULL,'2021-02-03 22:57:11.151811'
'301','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 23:22:35.091601'
'302','Yoga Tone 2' by 'Una',FULL,'2021-02-03 23:22:35.252508'
'361','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-03 23:47:54.967304'
'361','Yoga Tone 2' by 'Una',FULL,'2021-02-03 23:47:54.967431'
'421','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 00:13:14.888701'
'421','Yoga Tone 2' by 'Una',FULL,'2021-02-04 00:13:14.889189'
'481','Yoga Tone 2' by 'Una',FULL,'2021-02-04 00:38:34.550442'
'482','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 00:38:34.662044'
'541','Yoga Tone 2' by 'Una',FULL,'2021-02-04 01:03:54.226547'
'542','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 01:03:54.387567'
'601','Yoga Tone 2' by 'Una',FULL,'2021-02-04 01:29:13.985780'
'602','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 01:29:14.204154'
'661','Yoga Tone 2' by 'Una',FULL,'2021-02-04 01:56:05.239360'
'662','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 01:56:16.774334'
'721','Yoga Tone 2' by 'Una',FULL,'2021-02-04 02:21:24.939839'
'722','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 02:21:36.584700'
'781','Yoga Tone 2' by 'Una',FULL,'2021-02-04 02:46:44.506096'
'782','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-02-04 02:46:56.344498'
'841','Yoga Tone 2' by 'Una',FULL,'2021-02-04 03:12:04.256706'
