#,Class,Status,Time
'1','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2023-07-08 11:57:18.914489'
'2','Yoga Tone' by 'Una',FULL,'2023-07-08 11:57:44.957844'
'3','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2023-07-08 11:58:41.612847'
'4','Yoga Tone' by 'Una',FULL,'2023-07-08 11:59:08.163173'
'5','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2023-07-08 12:00:02.945049'
'6','Yoga Tone' by 'Una',FULL,'2023-07-08 12:00:30.441588'
'7','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2023-07-08 12:01:25.116619'
'8','Yoga Tone' by 'Una',FULL,'2023-07-08 12:01:52.576681'
'9','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2023-07-08 12:02:46.968658'
