#,Class,Status,Time
'1','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:13:25.250852'
'2','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:13:40.395633'
'3','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:13:54.351633'
'4','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:14:08.282970'
'5','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:15:15.844271'
'6','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:15:30.975437'
'7','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:15:44.947902'
'8','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:15:58.886101'
'9','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:17:06.518306'
'10','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:17:21.634737'
'11','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:17:35.616701'
'12','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:17:49.492303'
'13','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:18:57.121987'
'14','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:19:12.231437'
'15','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:19:26.254470'
'16','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:19:40.571188'
'17','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:20:47.727410'
'18','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:21:02.863430'
'19','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:21:17.120473'
'20','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:21:31.186339'
'21','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:22:38.346211'
'22','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:22:53.554541'
'23','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:23:07.741861'
'24','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:23:21.781262'
'25','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:24:28.966331'
'26','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:24:44.158603'
'27','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:24:58.344625'
'28','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:25:12.390792'
'29','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:26:19.605688'
'30','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:26:34.733718'
'31','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:26:48.941543'
'32','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:27:03.000110'
'33','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:28:10.285593'
'34','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:28:25.354557'
'35','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:28:39.553181'
'36','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:28:53.627852'
'37','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:30:00.902597'
'38','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:30:15.963087'
'39','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:30:30.157720'
'40','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:30:44.294819'
'41','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:31:51.513804'
'42','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:32:06.544002'
'43','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:32:20.789667'
'44','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:32:34.913211'
'45','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:33:42.147903'
'46','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:33:57.171475'
'47','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:34:11.404276'
'48','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:34:25.514673'
'49','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:35:32.909217'
'50','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:35:47.799153'
'51','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:36:02.036006'
'52','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:36:16.117803'
'53','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:37:23.595441'
'54','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:37:38.416090'
'55','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:37:52.805316'
'56','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:38:06.848672'
'57','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-05 22:39:14.270176'
'58','Yoga Tone 2' by 'Una',FULL,'2022-09-05 22:39:29.046366'
'59','Counter Flow 1' by 'Marcus',FULL,'2022-09-05 22:39:43.430028'
'60','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-05 22:39:57.481600'
